id,count
0,95.62272
1,225.44553
2,68.22981
4,103.00647
5,104.56475
10,130.02011
11,141.49203
12,207.71571
15,75.46094
17,32.333023
18,214.72078
23,205.52385
25,175.33911
26,82.181114
31,191.05211
39,186.48274
40,59.28046
41,130.9952
42,214.1087
43,172.78322
51,211.34036
52,69.67908
54,88.34879
60,162.06416
61,191.30614
62,149.86531
63,51.20194
65,135.27121
66,123.44543
68,187.10976
71,56.12505
80,91.79483
82,82.34957
94,181.88605
98,200.539
101,91.71489
102,169.15994
107,97.19432
112,221.8201
113,85.86558
115,14.228466
116,159.39937
120,84.3767
121,86.47035
122,218.85033
132,169.9279
143,48.648903
147,79.64427
150,75.05325
151,69.39363
152,204.50624
153,85.45516
155,84.16656
156,100.684456
159,191.99622
161,80.4793
163,77.01348
177,170.37837
186,89.728004
188,61.993114
190,76.94799
191,98.28529
192,181.15688
195,211.62239
200,179.4056
209,206.05545
210,78.455055
211,233.11298
214,177.99727
215,89.765785
218,155.11264
219,49.51753
222,96.17898
225,65.89653
228,220.42883
236,204.1265
241,73.29517
242,179.93286
243,217.82213
245,67.30944
247,210.38644
251,192.02684
252,79.413765
253,74.4448
254,83.0679
258,205.11743
260,61.531887
261,180.61499
265,62.238674
266,200.13025
267,204.27528
269,165.16121
270,74.121025
275,150.51208
278,78.887215
279,59.698154
286,103.786064
287,58.294094
288,197.21223
289,178.53448
293,78.66247
294,186.75551
297,-13.376204
302,118.157646
303,79.12696
304,109.974846
307,136.08273
309,67.402985
311,199.93602
312,130.49345
314,202.14651
315,211.28987
319,188.12276
322,154.12735
323,60.637737
325,192.12561
327,200.83167
330,65.532906
332,195.47987
333,74.62272
338,155.65363
341,87.31262
345,137.15782
348,161.3844
349,91.05256
350,119.01942
352,51.0861
355,55.677563
356,184.37149
358,74.99935
363,173.76878
369,190.67017
371,76.46368
372,198.44476
375,212.63261
380,193.61284
388,77.98298
391,191.109
392,188.08038
393,211.71638
394,94.51772
396,60.344723
401,67.50561
407,44.49995
409,75.86381
410,135.52798
416,124.9856
418,120.107475
420,188.01341
421,208.74046
422,191.73006
424,217.3173
428,199.29251
429,214.52614
431,175.54034
435,14.618519
439,105.44228
441,48.945255
447,80.36415
449,199.74008
451,206.02856
452,83.32401
454,185.52803
458,212.24126
463,174.25381
467,81.77882
470,127.23346
471,151.98024
474,203.7257
478,92.761284
483,113.574005
484,166.34265
485,75.89536
486,169.85207
491,134.9113
494,110.76916
495,196.48059
497,185.079
499,214.88853
515,143.54878
518,185.13568
521,96.71331
525,197.0255
529,196.63806
532,167.90715
534,65.154625
540,71.59255
544,216.02946
547,180.50174
549,84.823494
563,63.70621
564,200.62372
567,120.99015
572,166.43799
577,184.30292
578,217.83635
585,212.32146
588,204.27576
589,180.84546
590,131.96823
592,90.60587
594,127.896095
596,79.809715
598,213.17377
599,177.55797
605,88.60035
606,158.3189
607,198.82286
608,191.35106
609,67.55593
610,195.72911
611,105.51545
614,176.79128
615,175.55803
616,194.79282
617,158.86945
618,192.97316
624,123.45191
629,182.52216
631,92.92411
633,99.076195
637,80.64045
638,155.02385
643,43.016216
644,175.96704
645,67.94213
646,179.68188
648,164.35704
650,72.45844
651,108.45042
652,218.02197
656,162.70009
657,95.402084
659,84.45741
660,175.79262
662,145.7316
665,208.14903
675,221.08571
681,161.23387
682,183.6573
685,60.30772
686,198.21309
689,76.30154
696,156.50615
703,188.40474
704,133.22054
705,162.15184
714,183.30511
717,81.11749
718,93.56281
720,74.58041
721,216.69817
723,190.85918
726,106.25256
728,189.95802
730,107.16586
731,82.76258
734,219.7665
737,63.61732
738,73.30462
745,213.26689
746,86.94318
749,182.14871
752,77.50168
753,93.533134
758,183.48605
765,102.12144
766,204.63501
768,71.77613
769,195.52534
774,179.67955
775,118.751915
781,71.04327
784,203.44464
794,101.22114
795,213.41318
796,72.56022
802,126.780525
803,103.58735
805,75.39028
806,206.87883
807,137.09297
809,63.894672
810,199.69766
812,99.42011
814,117.81321
818,190.17772
819,212.91734
825,-8.217583
836,108.5708
839,169.81767
847,207.94537
848,97.18266
851,186.68509
852,169.13713
853,45.517574
857,181.05789
858,93.96337
859,192.63075
861,3.269182
867,153.29454
870,188.16862
871,200.94574
872,220.62149
874,221.79222
881,209.60509
886,164.65604
890,57.05708
895,174.29422
899,72.68075
900,200.93411
901,204.96489
902,197.20287
903,80.7033
913,212.38197
918,209.3867
923,166.63707
924,70.623665
926,58.27508
927,74.81478
930,183.8952
934,60.412807
937,178.57047
939,147.94896
941,89.2555
942,220.87003
946,203.78609
950,136.2563
953,86.501755
959,51.114105
961,56.222584
962,92.60198
964,91.92644
969,179.37361
971,157.38739
976,72.94534
978,190.96858
980,205.5627
981,177.60188
990,213.2963
993,67.938896
996,74.81257
998,221.43109
999,188.7976
1006,157.1653
1008,89.46405
1013,77.80071
1015,128.71335
1016,174.36247
1022,210.80354
1026,191.18031
1028,212.69849
1031,23.925043
1034,85.06626
1037,202.27464
1040,91.63247
1042,72.49555
1046,101.589226
1048,125.66143
1049,154.52731
1050,70.93253
1051,200.65883
1052,197.06117
1055,105.55535
1060,166.47308
1064,98.91741
1066,80.14315
1071,170.97641
1073,82.19214
1089,196.37282
1091,137.08098
1092,61.089687
1093,198.86716
1096,209.94579
1097,185.77614
1098,57.06248
1099,86.80858
1102,210.74216
1107,97.936455
1109,89.00292
1111,45.17345
1112,142.30173
1114,227.00444
1116,203.85075
1117,176.98785
1118,88.26252
1122,175.59282
1124,180.48865
1127,114.830925
1133,209.2261
1134,70.83286
1135,168.49007
1139,212.98235
1143,67.64327
1150,101.71412
1151,131.67879
1153,207.37277
1155,66.80575
1162,64.19033
1163,179.28696
1166,8.151493
1171,73.667656
1172,68.18676
1173,205.55469
1174,100.98026
1177,115.425316
1178,110.200516
1184,105.380905
1185,141.20415
1186,102.7738
1187,198.22589
1188,213.68007
1191,175.56374
1207,129.33679
1213,87.6869
1215,178.43127
1223,207.27867
1227,143.70483
1236,67.85868
1237,54.755257
1238,99.12917
1241,70.0239
1248,77.10409
1250,73.17278
1251,191.49629
1253,114.093605
1255,139.50029
1257,213.09106
1261,120.55569
1262,209.50148
1265,168.22743
1273,206.84995
1277,202.73526
1278,147.06847
1280,106.709854
1284,170.84137
1285,220.73361
1288,95.96161
1295,134.2424
1297,231.88615
1299,206.48254
1304,182.0082
1308,69.72546
1310,134.52003
1311,156.87675
1314,85.353004
1315,140.89665
1318,21.715813
1320,223.40373
1321,202.39738
1322,187.72119
1330,167.64171
1333,190.57227
1334,174.89613
1341,185.57771
1344,154.08682
1351,190.1415
1354,69.94863
1356,75.17954
1363,147.3168
1365,197.54808
1369,162.53714
1373,119.28666
1375,147.32387
1377,62.03005
1379,192.65892
1380,210.33667
1381,120.93415
1384,169.937
1390,194.60379
1393,197.88412
1395,66.21531
1399,200.11311
1400,102.40331
1401,109.18455
1404,191.89253
1408,79.43903
1409,21.972958
1413,181.18034
1416,195.20825
1418,129.8823
1423,91.40364
1424,65.939865
1425,76.1676
1433,214.97745
1434,168.06009
1436,207.7402
1442,202.09616
1444,60.00384
1445,178.41107
1452,195.13148
1455,190.19693
1462,78.29449
1467,29.333223
1472,82.30541
1475,107.45309
1493,161.36768
1501,185.65936
1503,203.94377
1504,209.6443
1505,61.470387
1511,207.4478
1512,67.47553
1513,160.88493
1514,98.240395
1528,203.65733
1533,222.12404
1534,57.881817
1536,183.97536
1537,64.04885
1539,121.30547
1550,194.69551
1552,177.38948
1554,195.64499
1555,209.85236
1556,64.584915
1559,71.94319
1563,197.44156
1566,202.7545
1567,119.68486
1568,74.33048
1571,187.28194
1572,61.01875
1574,63.18838
1577,90.090996
1583,74.11146
1585,86.41758
1586,194.5449
1587,195.11743
1596,175.70615
1602,81.264656
1604,98.74922
1605,65.903046
1610,214.35088
1611,138.80061
1616,98.045746
1617,152.57777
1618,75.77355
1622,53.724743
1623,58.67796
1628,211.6036
1631,57.932667
1632,196.61014
1633,188.2944
1634,207.44919
