id,count
0,109.74978
1,249.37996
2,100.64969
4,121.23212
5,137.23346
10,161.86894
11,174.28714
12,218.43987
15,80.26257
17,63.20378
18,248.23772
23,240.3461
25,180.96869
26,94.15933
31,229.86311
39,199.10776
40,65.90803
41,183.07794
42,240.66856
43,208.40227
51,241.71198
52,79.66488
54,106.8108
60,195.82303
61,205.61499
62,176.99838
63,63.268555
65,168.43486
66,154.05475
68,198.71878
71,70.31861
80,100.75752
82,114.83212
94,212.45027
98,233.49722
101,90.754974
102,203.6164
107,152.82826
112,233.56003
113,85.188354
115,48.26686
116,192.78218
120,121.55882
121,87.22672
122,252.32503
132,203.47208
143,84.64621
147,96.682274
150,75.80819
151,82.99297
152,237.35622
153,117.22244
155,87.28258
156,163.78806
159,225.89249
161,118.457634
163,111.61128
177,205.31537
186,103.39353
188,97.247
190,112.535164
191,111.955765
192,191.59552
195,235.33679
200,209.89719
209,239.64766
210,77.88764
211,244.08446
214,201.0091
215,104.44822
218,165.74767
219,54.982162
222,131.73454
225,76.3579
228,254.773
236,236.94196
241,109.62943
242,209.94148
243,249.67476
245,102.85687
247,246.8557
251,212.89378
252,115.418045
253,74.33882
254,89.563805
258,236.94115
260,87.547585
261,197.1407
265,95.50344
266,235.66075
267,212.20049
269,200.45584
270,110.07454
275,165.64078
278,105.70484
279,63.705643
286,138.06686
287,94.65361
288,233.94699
289,207.80019
293,113.34155
294,194.07997
297,17.792496
302,120.447365
303,78.94541
304,144.21317
307,163.59079
309,78.322044
311,228.41399
312,173.87144
314,232.09962
315,243.51321
319,224.19907
322,185.90427
323,96.58255
325,198.57935
327,237.1345
330,81.93391
332,229.38805
333,109.78527
338,180.903
341,90.255196
345,185.01639
348,192.6666
349,123.95266
350,155.36693
352,65.16308
355,63.255287
356,205.53082
358,75.33044
363,204.2092
369,216.78244
371,78.058754
372,213.62407
375,248.50519
380,202.76129
388,110.87749
391,219.09766
392,205.09863
393,243.71275
394,103.77573
396,87.782135
401,76.44043
407,73.71961
409,111.11028
410,156.4103
416,132.60762
418,154.0864
420,221.03279
421,223.119
422,218.87354
424,251.02148
428,208.84639
429,223.55583
431,192.10632
435,42.782204
439,142.82645
441,78.20771
447,92.227135
449,209.81721
451,223.98474
452,105.17881
454,190.21463
458,219.96802
463,201.89172
467,81.90795
470,174.93883
471,188.11664
474,238.5413
478,113.59574
483,125.06359
484,174.26376
485,109.17127
486,192.48166
491,138.62352
494,113.33483
495,206.77083
497,207.23555
499,228.4245
515,163.84212
518,218.516
521,132.7211
525,226.06323
529,229.54086
532,202.38443
534,90.52519
540,104.18203
544,251.41934
547,216.25584
549,118.42009
563,70.4922
564,225.64842
567,125.8843
572,173.16467
577,192.11914
578,249.95956
585,228.95134
588,215.34756
589,185.9295
590,165.07516
592,93.046135
594,178.61322
596,91.85955
598,220.97856
599,209.82504
605,107.995445
606,184.80293
607,215.31123
608,226.9419
609,102.70753
610,228.92323
611,131.7115
614,203.59303
615,207.34862
616,224.77696
617,185.57463
618,207.09436
624,132.23085
629,214.4736
631,124.40255
633,103.344215
637,101.71941
638,163.9489
643,70.44148
644,206.0501
645,87.11837
646,197.36182
648,196.65909
650,107.03501
651,117.76278
652,253.81857
656,191.22511
657,114.88652
659,85.20018
660,184.03528
662,172.54353
665,240.07385
675,253.16536
681,199.94368
682,212.24593
685,97.86373
686,230.45062
689,93.10824
696,191.97192
703,209.06293
704,138.08809
705,192.05342
714,219.44705
717,92.39594
718,96.245476
720,110.14125
721,241.96887
